"latitude","longitude","codePostal","nomVille","nomSport","ouvertureCovid"
47.6156935,-3.1573974,56410,"Erdeven","Bodyboard#Surf",""
47.6449417,-3.1463699,56410,"Erdeven","",""
47.6569523,-3.2071568,56410,"Étel","",""
47.6566486,-3.2074864,56550,"Belz","Canoë kayak#Randonnée pédestre",""
47.6116265,-3.1686926,56410,"Erdeven","Stand up paddle#Surf",""
47.4843909,-3.10134,56170,"Quiberon","Pêche en mer",""
47.559108,-3.136031,56510,"Saint-Pierre-Quiberon","Kayak de mer#Randonnée pédestre#Stand up paddle",""
47.6656246,-2.9862579,56400,"Auray","Voile Croisière",""
48.522506,-2.7650569,22000,"Saint-Brieuc","Canoë kayak#Kayak de mer",""
48.8164321,-3.4543941,22700,"Perros-Guirec","Bodyboard#Stand up paddle#Surf",""
48.7688639,-3.0229764,22500,"Paimpol","","oui"
48.7402008,-3.2660293,22450,"La Roche-Jaudy","Canoë kayak#Kayak de mer#Stand up paddle#Wave-ski","oui"
48.3464381,-3.2519531,22110,"Trémargat","Canoë kayak#Geocaching#Multisport#Pêche#Randonnée pédestre#Tir à l’arc",""
48.544512,-3.131867,22970,"Ploumagoar","VTT",""
48.2584556,-3.3786392,22110,"Glomel","Equitation",""
48.5563868,-3.1927299,22200,"Plouisy","Equitation#Randonnée équestre","oui"
48.6271365,-2.4148677,22240,"Plurien","Deltaplane#Equitation#Randonnée équestre","oui"
48.4660107,-2.0792228,22100,"Quévert","Equitation#Randonnée équestre",""
48.6077169,-2.2760581,22380,"Saint-Cast-le-Guildo","Equitation","oui"
48.4680273,-2.0344018,22100,"Taden","Equitation#Randonnée équestre",""
48.8006944,-3.4997891,22730,"Trégastel","Equitation#Randonnée équestre","oui"
48.5444269,-3.3970928,22810,"Belle-Isle-en-Terre","Pêche#Pêche en eau douce",""
48.6306253,-2.254579,22380,"Saint-Cast-le-Guildo","Plongée",""
48.6414583,-2.2456712,22380,"Saint-Cast-le-Guildo","",""
48.6407933,-2.2484029,22380,"Saint-Cast-le-Guildo","Voile","oui"
48.47617,-2.4756,22400,"Lamballe-Armor","Attelage#Equitation#Randonnée équestre","oui"
48.7849392,-3.2509619,22220,"Minihy-Tréguier","Equitation","oui"
48.3771986,-2.9752805,22800,"Saint-Bihy","Equitation#Randonnée équestre",""
48.1798615,-2.6270849,22210,"Plémet","Canoë kayak#Stand up paddle#VTT",""
48.832803,-3.486421,22700,"Perros-Guirec","Kayak de mer#Stand up paddle",""
48.4032144,-2.3201318,22270,"Jugon-les-Lacs","Aviron#Canoë kayak#Catamaran#Dériveur#Escalade#Randonnée pédestre#Stand up paddle#Tir à l’arc#Voile#VTT","oui"
48.1988505,-3.0137488,22530,"Guerlédan","Escalade",""
48.4609895,-2.0858548,22100,"Quévert","Plongée",""
48.606707,-2.1888503,22750,"Saint-Jacut-de-la-Mer","Catamaran#Char à voile#Dériveur#Fun board#Kayak de mer#Planche à voile#Stand up paddle#Voile","oui"
48.5592592,-3.1047588,22200,"Saint-Agathon","VTT",""
48.5608462,-3.1528614,22200,"Guingamp","Pêche#Pêche en eau douce",""
48.5215439,-2.2102953,22130,"Plancoët","Equitation#Randonnée équestre","oui"
48.444789,-2.101414,22100,"Trélivan","Baptême de l'air#Promenade aérienne",""
48.536642,-2.998706,22170,"Châtelaudren-Plouagat","Handball",""
48.543588,-2.967909,22170,"Châtelaudren-Plouagat","",""
48.8361789,-3.3153465,22710,"Penvénan","Catamaran#Dériveur#Kayak de mer#Planche à voile#Stand up paddle#Voile habitable","oui"
48.6405657,-2.2473692,22380,"Saint-Cast-le-Guildo","","oui"
48.8177227,-3.4609079,22700,"Perros-Guirec","Kayak de mer",""
48.482162,-2.1027416,22130,"Corseul","Equitation",""
48.6570435,-2.8579405,22410,"Saint-Quay-Portrieux","Tir à l’arc",""
48.7829898,-3.0439732,22500,"Paimpol","Voile#Voile habitable","oui"
48.6358721,-2.4733912,22430,"Erquy","Bouée tractée#Flyboard#Jetski","oui"
48.4563311,-2.8328418,22800,"Plaine-Haute","Canoë kayak",""
48.5442984,-2.7241274,22190,"Plérin","Kite-surf",""
48.455463,-2.0382493,22100,"Lanvallay","Aviron",""
48.649935,-2.367854,22240,"Fréhel","Pêche#Pêche en mer",""
48.6074653,-2.3625899,22240,"Fréhel","Equitation",""
48.6212746,-2.9976602,22290,"Lanvollon","VTT",""
48.6363686,-2.4739837,22430,"Erquy","Pêche#Pêche en mer","oui"
48.5216831,-2.2383403,22130,"Plancoët","",""
48.4319769,-2.2215557,22980,"Plélan-le-Petit","",""
48.7425092,-3.0293126,22500,"Kerfot","Catamaran#Dériveur#Kayak de mer#Voile",""
48.649916,-2.3485226,22240,"Fréhel","Tir",""
48.7690852,-3.1426564,22740,"Pleudaniel","Gymnastique","oui"
48.6972499,-3.162961,22260,"Pontrieux","Badminton",""
